card_id,deck,character_name,trait1_Background,trait1_value,trait2_Wearing & Holding,trait2_value,trait3_Head & Hat,trait3_value,trait4_Face,trait4_value,trait5_Eyes,trait5_value,xtra_name,xtra_value
AM#1,Couture,AM#1,S.E. Flame Circle,9,S.E. Fluffy Hair,9,Red Beanie with Red Pompom,3,Clean Lip,4,Closed,5,Two Gold Earrings,2
AM#2,Couture,,Beach One,1,"Tatts, Muscles & Gold Wristband",8,Yellow Knitted Beanie,2,Snarl,4,Orange Judging,5,None,0
AM#3,Couture,,Dark Blue Banana Oil Painting,1,S.E. Little Blue Ninja,8,Blue Baseball Cap,2,Black Moustache,4,"Bright Blue, Looking Right",5,Large Gold Earring,2
AM#4,Couture,,Beach Two,1,Hairy Back with Tattoos,7,Black Baseball Cap with X,2,White Moustache,3,"Red, Looking Right",5,Gold Nose Tooth,1
AM#5,Couture,,Orange & Black Tartan,1,Blue & Orange Kimono & Sword,7,Black Trucker,2,Brown Fluffy Beard,3,Orange with Tiny Pupils,5,Two Gold Earrings,2
AM#6,Couture,,Beach Three,1,Vibing White Canvas Jacket,7,White & Yellow Beanie,2,White Moustache,3,"Blue, Looking Right",5,None,0
AM#7,Couture,,Wood Framed Night Flower Scene,1,Special Ape Service Jacket,6,Yellow Cap with AM,2,Toothy Grimace,3,Small Blue,4,Twinkle In His Eye,2
AM#8,Couture,,"Red, Blue, Green & Yellow Tartan",1,Blue Business Suit,6,Black Baseball Cap w Gold Patch,2,Brown Fluffy Beard,3,Aviators with Black & Gold Lens,4,Two Gold Earrings,2
AM#9,Couture,,Repeating Bananas,1,Red Spacesuit with Lasers,6,Red Trucker Cap,2,Toothy Grimace,3,"Black Sunnies, Fire Lens",4,None,0
AM#10,Couture,,Yellow Brick Mosaic,1,Orange Ranger Outfit,6,Rainbow Baseball Cap,2,White Moustache,3,"Silver Wire Sunnies, Black Lens",4,One Gold Earring,1
AM#11,Couture,,Blue & Pink Streets,8,Veterinary Investigator,5,Ape Hair,1,Toothy Grimace,3,"Blue Sunnies, Black Lens",4,Two Gold Earrings,2
AM#12,Couture,,Beige Mechanical Street,8,Special Police White Coat,5,Black Curly Hair,1,Bloody Mouth,2,Shifty Orange,4,Twinkle In His Eye,2
AM#13,Couture,,Blue 3D Pixels,7,Blue & Gold Shirt & Medalions,5,Grey Beanie,1,Laaaaaaa,2,Squinty Turquoise,4,Ear Cuffs In Both Ears,3
AM#14,Couture,,Yellow Brick Circle Mosaic,7,Abstract Secret Police,5,Red Beanie   ,1,Belch,2,"Black Sunnies, Fire Mirror Lens",3,None,0
