card_id,deck,character_name,trait1_name,trait1_value,trait2_name,trait2_value,trait3_name,trait3_value,trait4_name,trait4_value,trait5_name,trait5_value,xtra_name,xtra_value
AM#1,Couture,Character Name Here,Trait Name 1,0,Trait Name 2,0,Trait Name 3,0,Trait Name 4,0,Trait Name 5,0,XTRA Trait Name,0
AM#2,Couture,,,0,,0,,0,,0,,0,,0
AM#3,Couture,,,0,,0,,0,,0,,0,,0
AM#4,Couture,,,0,,0,,0,,0,,0,,0
AM#5,Couture,,,0,,0,,0,,0,,0,,0
AM#6,Couture,,,0,,0,,0,,0,,0,,0
AM#7,Couture,,,0,,0,,0,,0,,0,,0
AM#8,Couture,,,0,,0,,0,,0,,0,,0
AM#9,Couture,,,0,,0,,0,,0,,0,,0
AM#10,Couture,,,0,,0,,0,,0,,0,,0
AM#11,Couture,,,0,,0,,0,,0,,0,,0
AM#12,Couture,,,0,,0,,0,,0,,0,,0
AM#13,Couture,,,0,,0,,0,,0,,0,,0
AM#14,Couture,,,0,,0,,0,,0,,0,,0
AM#15,Couture,,,0,,0,,0,,0,,0,,0
AM#16,Couture,,,0,,0,,0,,0,,0,,0
AM#17,Couture,,,0,,0,,0,,0,,0,,0
AM#18,Couture,,,0,,0,,0,,0,,0,,0
AM#19,Couture,,,0,,0,,0,,0,,0,,0
AM#20,Couture,,,0,,0,,0,,0,,0,,0
AM#21,Couture,,,0,,0,,0,,0,,0,,0
AM#22,Couture,,,0,,0,,0,,0,,0,,0
AM#23,Couture,,,0,,0,,0,,0,,0,,0
AM#24,Couture,,,0,,0,,0,,0,,0,,0
AM#25,Couture,,,0,,0,,0,,0,,0,,0
AM#26,Couture,,,0,,0,,0,,0,,0,,0
AM#27,Couture,,,0,,0,,0,,0,,0,,0
AM#28,Couture,,,0,,0,,0,,0,,0,,0
AM#29,Couture,,,0,,0,,0,,0,,0,,0
AM#30,Couture,,,0,,0,,0,,0,,0,,0
AM#31,Couture,,,0,,0,,0,,0,,0,,0
AM#32,Couture,,,0,,0,,0,,0,,0,,0
AM#33,Couture,,,0,,0,,0,,0,,0,,0
AM#34,Couture,,,0,,0,,0,,0,,0,,0
AM#35,Couture,,,0,,0,,0,,0,,0,,0
AM#36,Couture,,,0,,0,,0,,0,,0,,0
AM#37,Couture,,,0,,0,,0,,0,,0,,0
AM#38,Couture,,,0,,0,,0,,0,,0,,0
AM#39,Couture,,,0,,0,,0,,0,,0,,0
AM#40,Couture,,,0,,0,,0,,0,,0,,0
AM#41,Couture,,,0,,0,,0,,0,,0,,0
AM#42,Couture,,,0,,0,,0,,0,,0,,0
AM#43,Couture,,,0,,0,,0,,0,,0,,0
AM#44,Couture,,,0,,0,,0,,0,,0,,0
AM#45,Couture,,,0,,0,,0,,0,,0,,0
AM#46,Couture,,,0,,0,,0,,0,,0,,0
AM#47,Couture,,,0,,0,,0,,0,,0,,0
AM#48,Couture,,,0,,0,,0,,0,,0,,0
AM#49,Couture,,,0,,0,,0,,0,,0,,0
AM#50,Couture,,,0,,0,,0,,0,,0,,0
AMM#1,Mutants,,,0,,0,,0,,0,,0,,0
AMM#2,Mutants,,,0,,0,,0,,0,,0,,0
AMM#3,Mutants,,,0,,0,,0,,0,,0,,0
AMM#4,Mutants,,,0,,0,,0,,0,,0,,0
AMM#5,Mutants,,,0,,0,,0,,0,,0,,0
AMM#6,Mutants,,,0,,0,,0,,0,,0,,0
AMM#7,Mutants,,,0,,0,,0,,0,,0,,0
AMM#8,Mutants,,,0,,0,,0,,0,,0,,0
AMM#9,Mutants,,,0,,0,,0,,0,,0,,0
AMM#10,Mutants,,,0,,0,,0,,0,,0,,0
AMM#11,Mutants,,,0,,0,,0,,0,,0,,0
AMM#12,Mutants,,,0,,0,,0,,0,,0,,0
AMM#13,Mutants,,,0,,0,,0,,0,,0,,0
AMM#14,Mutants,,,0,,0,,0,,0,,0,,0
AMM#15,Mutants,,,0,,0,,0,,0,,0,,0
AMM#16,Mutants,,,0,,0,,0,,0,,0,,0
AMM#17,Mutants,,,0,,0,,0,,0,,0,,0
AMM#18,Mutants,,,0,,0,,0,,0,,0,,0
AMM#19,Mutants,,,0,,0,,0,,0,,0,,0
AMM#20,Mutants,,,0,,0,,0,,0,,0,,0
AMM#21,Mutants,,,0,,0,,0,,0,,0,,0
AMM#22,Mutants,,,0,,0,,0,,0,,0,,0
AMM#23,Mutants,,,0,,0,,0,,0,,0,,0
AMM#24,Mutants,,,0,,0,,0,,0,,0,,0
AMM#25,Mutants,,,0,,0,,0,,0,,0,,0
AMM#26,Mutants,,,0,,0,,0,,0,,0,,0
AMM#27,Mutants,,,0,,0,,0,,0,,0,,0
AMM#28,Mutants,,,0,,0,,0,,0,,0,,0
AMM#29,Mutants,,,0,,0,,0,,0,,0,,0
AMM#30,Mutants,,,0,,0,,0,,0,,0,,0
AMM#31,Mutants,,,0,,0,,0,,0,,0,,0
AMM#32,Mutants,,,0,,0,,0,,0,,0,,0
AMM#33,Mutants,,,0,,0,,0,,0,,0,,0
AMM#34,Mutants,,,0,,0,,0,,0,,0,,0
AMM#35,Mutants,,,0,,0,,0,,0,,0,,0
AMM#36,Mutants,,,0,,0,,0,,0,,0,,0
AMM#37,Mutants,,,0,,0,,0,,0,,0,,0
AMM#38,Mutants,,,0,,0,,0,,0,,0,,0
AMM#39,Mutants,,,0,,0,,0,,0,,0,,0
AMM#40,Mutants,,,0,,0,,0,,0,,0,,0
AMM#41,Mutants,,,0,,0,,0,,0,,0,,0
AMM#42,Mutants,,,0,,0,,0,,0,,0,,0
AMM#43,Mutants,,,0,,0,,0,,0,,0,,0
AMM#44,Mutants,,,0,,0,,0,,0,,0,,0
AMM#45,Mutants,,,0,,0,,0,,0,,0,,0
AMM#46,Mutants,,,0,,0,,0,,0,,0,,0
AMM#47,Mutants,,,0,,0,,0,,0,,0,,0
AMM#48,Mutants,,,0,,0,,0,,0,,0,,0
AMM#49,Mutants,,,0,,0,,0,,0,,0,,0
AMM#50,Mutants,,,0,,0,,0,,0,,0,,0
amme#1,Mecha,,,0,,0,,0,,0,,0,,0
amme#2,Mecha,,,0,,0,,0,,0,,0,,0
amme#3,Mecha,,,0,,0,,0,,0,,0,,0
amme#4,Mecha,,,0,,0,,0,,0,,0,,0
amme#5,Mecha,,,0,,0,,0,,0,,0,,0
amme#6,Mecha,,,0,,0,,0,,0,,0,,0
amme#7,Mecha,,,0,,0,,0,,0,,0,,0
amme#8,Mecha,,,0,,0,,0,,0,,0,,0
amme#9,Mecha,,,0,,0,,0,,0,,0,,0
amme#10,Mecha,,,0,,0,,0,,0,,0,,0
amme#11,Mecha,,,0,,0,,0,,0,,0,,0
amme#12,Mecha,,,0,,0,,0,,0,,0,,0
amme#13,Mecha,,,0,,0,,0,,0,,0,,0
amme#14,Mecha,,,0,,0,,0,,0,,0,,0
amme#15,Mecha,,,0,,0,,0,,0,,0,,0
amme#16,Mecha,,,0,,0,,0,,0,,0,,0
amme#17,Mecha,,,0,,0,,0,,0,,0,,0
amme#18,Mecha,,,0,,0,,0,,0,,0,,0
