card_id,character_name,trait1_Background,trait1_value,trait2_Shoes,trait2_value,trait3_Wings,trait3_value,trait4_Stinger,trait4_value,trait5_Clothes,trait5_value,trait6_Eyes,trait6_value,trait7_Knees,trait7_value,trait8_Antennae,trait8_value
TBK#1,Character Name Here,Blue & Yellow Honeycomb Mosaic,5,Yellow Topped Leather,1,Golden Dragon’s,7,"Small Butt, Big Sting",4,Black Lapels & Tie with White Shirt,5,Red,4,Fire Band,3,No Antennae,8
TBK#2,,Yellow,3,Blue Pumps,4,Bee’s,1,Mini,1,Green Zip Top,4,Red,4,"Blue, Orange, Red & Pink Bands",5,Red Wings,7
TBK#3,,Gullibee’s Travels,7,Yellow Topped Leather,1,Bee’s,1,Butt Cam,6,None,1,Tired Orange,8,Black Knee Caps,2,Robo-Bee,2
TBK#4,,Pink,2,Orange Work Boots,3,Bee’s,1,Botty Burp,3,Red & Black Striped Top,2,Yellow Snake,1,"Blue, Orange, Red & Pink Bands",5,XL Metal,5
TBK#5,,I Love Blossom,4,Orange Work Boots,3,Black Eagle’s,3,Long Curly,4,Blue Business Suit,7,Yellow Snake,1,Black Knee Caps,2,Cosmic Torch,4
TBK#6,,Orange,3,Black Hobnail Boots,3,Bee’s,1,Butt Cam,6,Black Zip Top,3,Blue Shiny,2,Black Knee Bands,1,Laser Ended,5
TBK#7,,White,1,Yellow Pumps,6,Little Black,2,Metal Dagger,5,Blue Business Suit,7,Green Dark,2,"Blue, Orange, Red & Pink Bands",5,Samurai Blades,3
TBK#8,,Brown,2,Yellow Topped Leather,1,Little Black,2,Botty Burp,3,Black Zip Top,3,Green Dark,2,Black Knee Bands,1,No Antennae,8
TBK#9,,Yellow,3,Orange Work Boots,3,Black & Yellow Carbon,6,Long Curly,4,None,1,Small Black,7,Black Knee Caps,2,Huge,1
TBK#10,,Cracked Painted Honeycomb,6,Background Colour Leather,2,Bee’s,1,Pacifist,2,Black Lapels & Shirt Pin with White Shirt,5,Green Dark,2,"Blue, Orange, Red & Pink Bands",5,Extra Bee’s Wings,6
TBK#11,,Oil Paint Honeycomb,6,Yellow Topped Leather,1,Dragonfly,5,Pacifist,2,Yellow Pocket Top,8,Angry Dark,6,"Blue, Orange, Red & Pink Bands",5,Robo-Bee,2
TBK#12,,Paint Honeycomb with Blue,4,Orange Trainers,5,Bee’s,1,Botty Burp,3,Green Zip Top,4,Yellow Snake,1,Black Knee Bands,1,Straight Black,1
TBK#13,,Yellow,3,Turbo Rollers,9,Amber Butterfly,4,Metal Dagger,5,Black Lapels & Tie with White Shirt,5,Red Insect,9,Black Knee Caps,2,Extra Bee’s Wings,6
TBK#14,,White,1,Cosmic Rainbow Ballet,4,Grey with Electro-Charge,9,Mini,1,None,1,Yellow Snake,1,Black Knee Bands,1,Laser Ended,5
TBK#15,,Orange,3,Background Colour Leather,2,Golden Dragon’s,7,Pacifist,2,Red & Black Striped Top,2,Small Black,7,Pink & Blue Popsocks,4,Flame Thrower,9
TBK#16,,Green,2,Yellow Topped Leather,1,Black & Yellow Butterfly,4,Extra Long Pointy,5,None,1,Angry Dark,6,"Blue, Orange, Red & Pink Bands",5,Magic Wands,2
TBK#17,,Gullibee’s Travels,7,Black Hobnail Boots,3,Little Black,2,Botty Burp,3,White Top with V Neck,5,Blue & Yellow Crescent Moon,3,Fire Band,3,Robo-Bee,2
TBK#18,,Brown,2,Cosmic Rainbow Ballet,4,Bee’s,1,Pacifist,2,White Top with V Neck,5,Big Brown,1,Fire Band,3,Red Wings,7
TBK#19,,Cracked Painted Honeycomb,6,Cosmic Rainbow Ballet,4,Metal with Lasers,8,Cosmic Bomber,7,None,1,Tired Orange,8,Cracked Lava Fire,7,Straight Black,1
TBK#20,,Paint Honeycomb with Blue,4,Skate Wheels,8,Black Spiny Dragon’s,5,Cosmic Bomber,7,Black Lapels & Tie with White Shirt,5,Blue Shiny,2,Black Knee Caps,2,Straight Black,1
TBK#21,,Pink,2,Background Colour Leather,2,Bee’s,1,Botty Burp,3,Red & Black Striped Top,2,Green Dark,2,Black Knee Bands,1,Straight Black,1
TBK#22,,Green,2,Skate Wheels,8,Black Eagle’s,3,Mini,1,None,1,Yellow Snake,1,Cracked Lava Fire,7,No Antennae,8
TBK#23,,Oil Paint Honeycomb,6,Skate Wheels,8,Amber Butterfly,4,Mini,1,Yellow Pocket Top,8,Big Brown,1,Black Knee Caps,2,No Antennae,8
TBK#24,,Orange,3,Blue Pumps,4,Amber Butterfly,4,Metal Dagger,5,Green Zip Top,4,Big Brown,1,"Blue, Orange, Red & Pink Bands",5,Magic Wands,2
TBK#25,,Pink,2,Yellow & Black Skate,7,Dragonfly,5,Long Curly,4,Black Zip Top,3,Big Brown,1,Pink & Blue Popsocks,4,Samurai Blades,3
TBK#26,,Brown,2,Cosmic Rainbow Ballet,4,Bee’s,1,Butt Cam,6,White Top with V Neck,5,Small Black,7,Cracked Lava Fire,7,Straight Black,1
TBK#27,,Pink Clouds,9,Orange Work Boots,3,Little Black,2,"Small Butt, Big Sting",4,Red & Black Striped Top,2,Red,4,Black Knee Caps,2,Samurai Blades,3
TBK#28,,Orange,3,Yellow Topped Leather,1,Amber Butterfly,4,Butt Cam,6,Black Lapels & Shirt Pin with White Shirt,5,Blue Shiny,2,Cracked Lava Fire,7,Samurai Blades,3
TBK#29,,White,1,Yellow Topped Leather,1,Black Eagle’s,3,Metal Dagger,5,Black Zip Top,3,Green Dark,2,Black Knee Bands,1,Cosmic Torch,4
TBK#30,,Gullibee’s Travels,7,Yellow & Black Skate,7,Black & Yellow Carbon,6,Jet Power,8,None,1,Yellow Snake,1,Pink & Blue Popsocks,4,Robo-Bee,2
