card_id,character_name,trait1_name,trait1_value,trait2_name,trait2_value,trait3_name,trait3_value,trait4_name,trait4_value,trait5_name,trait5_value
TBK#1,Character Name Here,Trait Name 1,0,Trait Name 2,0,Trait Name 3,0,Trait Name 4,0,Trait Name 5,0
TBK#2,,,0,,0,,0,,0,,0
TBK#3,,,0,,0,,0,,0,,0
TBK#4,,,0,,0,,0,,0,,0
TBK#5,,,0,,0,,0,,0,,0
TBK#6,,,0,,0,,0,,0,,0
TBK#7,,,0,,0,,0,,0,,0
TBK#8,,,0,,0,,0,,0,,0
TBK#9,,,0,,0,,0,,0,,0
TBK#10,,,0,,0,,0,,0,,0
TBK#11,,,0,,0,,0,,0,,0
TBK#12,,,0,,0,,0,,0,,0
TBK#13,,,0,,0,,0,,0,,0
TBK#14,,,0,,0,,0,,0,,0
TBK#15,,,0,,0,,0,,0,,0
TBK#16,,,0,,0,,0,,0,,0
TBK#17,,,0,,0,,0,,0,,0
TBK#18,,,0,,0,,0,,0,,0
TBK#19,,,0,,0,,0,,0,,0
TBK#20,,,0,,0,,0,,0,,0
TBK#21,,,0,,0,,0,,0,,0
TBK#22,,,0,,0,,0,,0,,0
TBK#23,,,0,,0,,0,,0,,0
TBK#24,,,0,,0,,0,,0,,0
TBK#25,,,0,,0,,0,,0,,0
TBK#26,,,0,,0,,0,,0,,0
TBK#27,,,0,,0,,0,,0,,0
TBK#28,,,0,,0,,0,,0,,0
TBK#29,,,0,,0,,0,,0,,0
TBK#30,,,0,,0,,0,,0,,0
TBK#31,,,0,,0,,0,,0,,0
TBK#32,,,0,,0,,0,,0,,0
TBK#33,,,0,,0,,0,,0,,0
TBK#34,,,0,,0,,0,,0,,0
TBK#35,,,0,,0,,0,,0,,0
TBK#36,,,0,,0,,0,,0,,0
TBK#37,,,0,,0,,0,,0,,0
TBK#38,,,0,,0,,0,,0,,0
TBK#39,,,0,,0,,0,,0,,0
TBK#40,,,0,,0,,0,,0,,0
TBK#41,,,0,,0,,0,,0,,0
TBK#42,,,0,,0,,0,,0,,0
TBK#43,,,0,,0,,0,,0,,0
TBK#44,,,0,,0,,0,,0,,0
TBK#45,,,0,,0,,0,,0,,0
TBK#46,,,0,,0,,0,,0,,0
TBK#47,,,0,,0,,0,,0,,0
TBK#48,,,0,,0,,0,,0,,0
TBK#49,,,0,,0,,0,,0,,0
TBK#50,,,0,,0,,0,,0,,0
